Premise,Entailment,Neutral (non-sequitor),Contradiction,Creative contradiction
The principal is unhappy...we're cooked.,The principal is unhappy...we're in trouble.,Well cooked vegetables can be pureed easily.,The principal is unhappy...we're in good-standing,
The availability of data is likely to lead to a veritable orgy of statistical analysis.,The availability of data is likely to lead to a large amount of statistical analysis.,"Having been purified, the pilgrim would join a sacred orgy.",The availability of data is likely to lead to fucking nothing,
Love you to the moon and back.,Love you so much.,The missions successfully went to the moon and back.,Love you extremely little,
"Man, your compassion is greater than space.","Man, your compassion is huge.",Spacetime is more complicated than space.,"Man, your compassion is miniscule",
Marriage is the grave of love.,Marriage is the end of love.,I have gone to visit the grave of a friend.,Marriage is the begining of love.,Marriage is the start of strange bedfellows
I went into the shop and we cleared the shelves out.,I went into the shop and we bought a lot of things.,"At the restaurant, they cleared the shelves out and put in some old tables.",I went into the shop and we sold them,
He's as mad as a hippo with a hernia.,He's very mad.,I've never heard of a hippo with a hernia.,He's  very happy,
You're making a mountain out of a molehill.,You're exaggerating.,A mountain dominates the city.,You're understating,You're making a molehill
"Speech is silver, but silence is golden.","Speech is good, but silence is better.",Silver objects are rarer than golden ones in the tombs.,"Speech is bad, but silence is worse",XXX
No offence but she's out of the world dumb.,No offence but she's dumb.,Going to Mars was an out of the world experience.,No offence but she's smart,No offence but she's out of this world
Miss Trunchbull's lips stretched in a glacial smile.,Miss Trunchbull's lips stretched in a serious smile.,The monsoon in causing a fall in glacial temperatures.,Miss Trunchbull's lips stretched in a facestious scowl,
We're going to turn this sow's ear into a silk purse.,We're going to turn this sow's ear into something more valuable.,Put these items into a little silk purse.,We're going to turn this sow's ear into trash,
This one is valuable: you don't touch a hair of his head.,This one is valuable: you don't touch him.,A hair of his head began to grow again.,This one is valuable: you feel him,
He has a watermelon instead of a belly.,He has a big belly.,Watermelon is speckled with black seeds.,He has a small belly,
The argument with my bestfriend turned into a tempest in a teacup.,The argument with my bestfriend turned into a fight.,"The story begins with a tempest in a teacup, and sugar cubes transforming into cruise ships.",The argument with my bestfriend turned into a Peace agreement,
"You know, the world could end before I'd let something happen to you.","You know, I'll take care of you.",The world could end if all insect species died.,"You know, I'll wear you down. ","You know, the world could start again, and I couldn't stop everything from happening to you"
We must fight with the force of a typhoon.,We must fight with great force.,We can use the force of a typhoon to generate wind power.,We must flounder with great laziness,
These people would follow you to the end of the earth.,These people would follow you.,The end of the earth cannot be found.,These people would follow you nowhere.,
Beauty draws with a single hair.,Beauty draws very easily.,Each root is normally associated with a single hair.,Beauty draws a bit complexly ,
You'll devour the book in a couple of days.,You'll read the book in a couple of days.,Tuna devour small fish.,You'll forget the book in a couple of days.,
"He hurts everybody, he has a sharp knife instead of a tongue.","He hurts everybody, he has a sharp tongue.",You should use a sharp knife instead of a meat grinder.,"He hurts nobody, he has dull mind",
Technology annihilates humanity.,Technology hurts humanity.,"As the army forwards, it annihilates the enemy.",Technology helps all species,
I've been enjoying this tea for all my life.,I have been enjoying this tea for a long time.,I have lived in the country all my life.,I've been enjoying this tea for the first time ,
"This book is a masterpiece, it is priceless!","This book is a masterpiece, it is excellent!",The hope they can restore is priceless.,"This book is a piece of junk, it is terrible. ",
Her hair is the same as Rapunzel.,Her hair is very long.,"The princess was trapped in a tower, same as Rapunzel.",Her hair is a bit short,
You have no conception of the quantity of miserable feeling that passes through me in a day.,I have negative feelings in the day.,You have no conception of the chemical composition of oil.,I have positive feelings in the day.,
He hiccuped endlessly.,He hiccuped for a long time.,Waves endlessly tumble to shore.,He hiccuped briefly.,
My heart's bleeding right now.,My heart's hurt right now.,First aid for a bleeding nose is to pinch the nostrils.,My heart's healed right now.,
The professor destroyed me in front of the class.,The professor humiliated me in front of the class.,The bridge was destroyed.,The professor praised me in front of the class.,
His nose resembles Pinocchio's nose when he lies.,His nose is very big.,This tree branch resembles Pinocchio's nose.,His nose is very small,
I feel like I'm going to burst.,I feel excited.,The historic building is going to burst into flames.,I feel depressde,
"I have fever, I can't move.","I have fever, moving is difficult.","Since my operation, I can't move.","I have a fever, staying still is easy.",
New York is the promised land to him.,New York is right place for him.,Moses intended to go straight on into the promised land.,New York is the wrong place,
"Even thinking back, it feels like living a fairy tail.","Even thinking back, it feels like living a wonderful situation.",Our teacher who was recounting a fairy tale.,"Even thinking back, it feels like living a terrible situation",
My sisters mean more than air to me.,My sisters mean a lot to me.,Propane vapor weighs more than air.,My sisters mean little to me. ,
Moms are more powerful than the sea.,Moms are so powerful.,"The sky is unforgiving for computation mistakes, more than the sea.",Moms are so weak,
"Well, this travel's going to be the start of a new life for us.","Well, this travel's going to be a new opportunity for us.","I witnessed the start of a new life, I am a dad now.","Well, this travel's going to be very limited",
People say Massimo has phenomenal cooking powers.,People say Massimo has excellent cooking powers.,Through a phenomenal occurrence in nature,People say Massimo has terrible cooking powers. ,
You should sunbathe! You look white as a ghost!,You should sunbathe! You look pale!,The future is invisible as a ghost.,You should sunbathe! You look dark,
I did not suspect it would be so good: this book is a pit of wonders.,I did not suspect it would be so good: this book is wonderful.,The sultan was hiding precious gems in a pit of wonders set in his garden.,I did not suspect it would be so bad: this book is terrible,
His hand is as cold as an ice box.,His hand is very cold.,"I went to Canada and once left my phone in the open air. After some hours, it was cold as an ice box.",His hand is very warn,
My stomach almost bust.,My stomach is very bloated.,Property companies continue to go bust.,My stomach is very vaccuous ,
Faith will move mountains.,Faith is a strong motivator.,An earthquake can move mountains.,Faith is a poor motivator,
Her smoldering eyes still scorch my soul.,Her smoldering eyes still make me feel bad.,Wildfires can scorch the soil.,Her smoldering eyes still made me feel good.,
The massages at the spa are miraculous.,The massages at the spa render very good results.,The film is about the miraculous healing of a sick child.,The massages at the spa produce poor result. ,
"No more food, I'm stuffed.","No more food, I'm satiated.","Olives are available, either plain or stuffed with almonds.","Yes more food, I'm Famished",
That girl's eyes shine like stars.,That girl's eyes are bright.,Venus seems to shine like stars.,That girl's eyes are dull,
I felt fireworks in my brain when I set foot in the candy shop.,I felt very happy when I set foot in the candy shop.,I will watch fireworks in my hometown.,I felt very sad when I set foot in the candy shop.,
The princess' lips shame the red rose.,The princess' lips are red.,Youth unemployment figures shame the government.,The princess' lips are blue,The princess's lips are of a violet hue
My bank account runs dry.,My bank account is almost empty.,The river runs dry.,My bank account is almost overflowing,
"That joke is so old, the last time I heard it I was riding on a dinosaur.","That joke is so old, the last time I heard it was many years ago.",This is the first crest to be found on the fossil of a dinosaur.,"That joke is so new, the last time I heard it was recently",
"Insolent boy, I'll slash you to ribbons!","Insolent boy, I'll hit you!",The boy's uniform was slashed into ribbons.,"Insolent boy, I'll help you",
I would give my life for a coffee.,I really want a coffee.,I am ready to give my life to save my brother.,I wouldn't die for a coffee.,
I'll tell you a tale of the boundless blue that is the ocean.,I'll tell you a tale of the immense blue that is the ocean.,There exists a boundless number of points within a space.,I'll tell you a tale of the limited blue that is the ocean. ,
"After watching the movie, I wanted to put the villain through the wall into the next planet.","After watching the movie, I wanted to hurt the villain.",Landing into the next planet will be an exciting experience.,"After watching the movie, I wanted to help the villain",
"The noise was so great, that it was heard in both the countries.","The noise was so great, that it was heard in a long distance.",Deterioration in road safety was witnessed in both the countries.,"The noise was so great, that it was heard in a short distance",
That must be the angel music I hear.,That is great music I hear.,One belief is that you can hear the angel music when you pass out.,That must be terrible music I hear.,
The buyer has need of a hundred eyes.,The buyer has to be careful.,A hundred eyes stare at him.,The buyer has tp be careless,
